Flex betette a faszat a _____.	melegszendvicssutobe
Hogy hivjak az alabbi Warhammer 40k Karaktert? <br/><img src="https://i.guim.co.uk/img/media/04f57a19bac042ec9f6499f4ef564a310f9a6080/2_430_3080_1848/master/3080.jpg?width=1200&height=1200&quality=85&auto=format&fit=crop&s=9d212a8febdff371743ca71206e557cb" height=400 width=400>	Angron
Ez egy video?  <br/><video controls width="640"><source src="img/intro_movie.webm" type="video/webm">  Sorry, your browser doesn't support embedded videos. </video>	igen
Mi a neve Hephaistos romai megfelelojenek?	Vulcanus
Melyik nem szerepel a Codex Grimoire-janak arkanumai közt?	Vermagia
Hogy hivjak a Mexiko helyen letrejott allamot a Shadowrunban?	AZTLAN
Hany mana pontba kerul a Magus nagy arkanum ritualei kozul a Kaoszkapu varazslat?	155
Ki mondta: "Az életemet adnám érte, de ő azt akarja, hogy mosogassak is."	Hellboy
Ki mondta: "A döntéseinkben, nem pedig a képességeinkben mutatkozik meg, hogy kik is vagyunk valójában."	Dumbledore
Mi volt Agathe Cristie eredeti foglalkozása?	Gyogyszeresz
Az AnthroZoo folyóiratban publikált cikk szerint a tehenek 5%-al több tejet adnak, ha _____ adnak nekik.    tejet
A wombatok ürüléke _____ alakú. kocka
A híres kopi luwak kávé szemeit a _____ ürülékéből csipegetik ki.   cibetmacska
